StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   201109,    .28,   72.2,   -.21,   2.93,   -.62,   2.62,    180,     12,   -.09,   -.48,   -.35,     .4,    .22,   1.09,    .94,   57.3,   87.2,
       04,      00,   201110,   1.54,   61.4,   -.08,   2.73,    .31,   2.49,     43,    118,    .51,    .29,    .15,   1.07,    .95,    .91,    .87,   48.4,   74.3,
       04,      00,   201111,   1.69,   48.2,   -.45,   2.08,  -1.11,   1.34,      0,    401,   -.37,   -.13,   -.21,    .07,    .99,    .79,    .95,   37.5,   58.9,
       04,      00,   201112,    .47,   42.8,  -1.63,    .64,  -3.68,  -1.53,      0,    573,  -1.79,  -1.43,  -1.18,  -1.31,   -.98,   -.51,    .69,   30.6,     55,
       04,      00,   201201,   3.12,   46.5,  -2.27,  -2.27,  -2.42,  -2.27,      4,    445,   -.22,  -1.23,  -1.25,   -1.2,   -.85,   -.22,    .27,   34.4,   58.6,
       04,      00,   201202,   1.22,   46.5,  -3.18,  -3.18,  -3.44,  -3.18,      0,    438,  -1.13,   -.95,  -1.75,  -1.61,  -1.47,   -.64,      0,     35,     58,
       04,      00,   201203,   4.74,   48.8,  -2.31,  -2.31,   1.61,   -1.6,      1,    446,    .88,   -.14,   -.31,  -1.03,   -1.1,   -.92,    .29,   37.3,   60.4,
       04,      00,   201204,   2.48,   55.8,  -1.74,  -1.74,   1.01,   -.59,     13,    273,    .87,   1.03,    .11,   -.87,   -.84,   -.58,    .19,   43.1,   68.4,
       04,      00,   201205,     .2,   63.9,  -1.96,  -1.96,  -1.19,  -1.25,     54,    130,  -1.43,    .28,    .78,   -.89,   -.95,   -.84,     .1,   49.2,   78.6,
       04,      00,   201206,    .32,   69.3,  -1.86,  -1.86,    -.3,  -1.22,    108,     51,    .16,  -1.11,    .25,   -.24,   -.89,   -.95,    .11,   54.3,   84.3,
